country_code,country_name,year,barley_export_qty_t,barley_export_value_ths_usd,butter_of_cow_milk_export_qty_t,butter_of_cow_milk_export_value_ths_usd,cattle_export_qty_an,cattle_export_value_ths_usd,cheese_from_milk_of_sheep_export_qty_t,cheese_from_milk_of_sheep_export_value_ths_usd,cheese_from_whole_cow_milk_export_qty_t,cheese_from_whole_cow_milk_export_value_ths_usd,chickens_export_qty_ths_an,chickens_export_value_ths_usd,cream_fresh_export_qty_t,cream_fresh_export_value_ths_usd,crops_and_livestock_products_export_value_ths_usd,dairy_products_export_qty_t,dairy_products_export_value_ths_usd,eggs_liquid_export_qty_t,eggs_liquid_export_value_ths_usd,goats_export_qty_an,goats_export_value_ths_usd,hen_eggs_in_shell_fresh_export_qty_t,hen_eggs_in_shell_fresh_export_value_ths_usd,meat_of_cattle_boneless_export_qty_t,meat_of_cattle_boneless_export_value_ths_usd,meat_of_cattle_with_the_bone_export_qty_t,meat_of_cattle_with_the_bone_export_value_ths_usd,meat_of_chickens_export_qty_t,meat_of_chickens_export_value_ths_usd,meat_of_goat_export_qty_t,meat_of_goat_export_value_ths_usd,meat_of_pig_boneless_export_qty_t,meat_of_pig_boneless_export_value_ths_usd,meat_of_pig_with_the_bone_export_qty_t,meat_of_pig_with_the_bone_export_value_ths_usd,meat_of_sheep_export_qty_t,meat_of_sheep_export_value_ths_usd,oats_export_qty_t,oats_export_value_ths_usd,oats_rolled_export_qty_t,oats_rolled_export_value_ths_usd,other_vegetables_fresh_export_qty_t,other_vegetables_fresh_export_value_ths_usd,potatoes_export_qty_t,potatoes_export_value_ths_usd,raw_milk_of_cattle_export_qty_t,raw_milk_of_cattle_export_value_ths_usd,sheep_export_qty_an,sheep_export_value_ths_usd,skim_milk_and_whey_powder_export_qty_t,skim_milk_and_whey_powder_export_value_ths_usd,skim_milk_condensed_export_qty_t,skim_milk_condensed_export_value_ths_usd,skim_milk_of_cows_export_qty_t,skim_milk_of_cows_export_value_ths_usd,swine_per_pigs_export_qty_an,swine_per_pigs_export_value_ths_usd,vegetable_products_export_qty_t,vegetable_products_export_value_ths_usd,vegetables_frozen_export_qty_t,vegetables_frozen_export_value_ths_usd,wheat_export_qty_t,wheat_export_value_ths_usd,whole_milk_condensed_export_qty_t,whole_milk_condensed_export_value_ths_usd,whole_milk_powder_export_qty_t,whole_milk_powder_export_value_ths_usd,wool_degreased_or_carbonized_export_qty_t,wool_degreased_or_carbonized_export_value_ths_usd,wool_hair_waste_export_qty_t,wool_hair_waste_export_value_ths_usd,wool_shoddy_export_qty_t,wool_shoddy_export_value_ths_usd
32,Argentina,2000,36926.56,4991.0,6039.24,8822.0,14021.0,2180.0,,,24955.45,59414.0,1215.0,2367.0,695.82,638.0,10777172.99,8645.27,4687.0,18.16,28.0,0.0,0.0,29.85,74.0,156131.62,493135.0,3705.8,4523.0,16616.07,8530.0,30.47,46.0,6.4,12.0,0.0,0.0,1492.7,3888.0,16924.66,1892.0,413.87,389.0,1044.33,614.0,39244.9,4443.0,23498.67,7339.0,100.0,7.0,22028.62,41841.0,,,123.72,45.0,0.0,0.0,0.0,0.0,729.19,686.0,11019021.0,1218077.0,303.0,314.0,97667.78,187366.0,6792.88,15167.0,2038.51,2867.0,,
32,Argentina,2001,201329.0,27320.0,2308.0,2992.0,79.0,11.0,,,17546.0,49396.0,953.0,1871.0,456.0,408.0,10959286.39,11162.0,7154.0,0.0,0.0,0.0,0.0,469.0,1373.0,42620.0,113557.0,416.0,549.0,17171.0,10366.0,13.0,19.0,45.0,78.0,0.0,0.0,983.0,1959.0,15964.0,1723.0,335.0,325.0,1246.0,506.0,16950.0,1972.0,6731.0,1980.0,0.0,0.0,19796.0,41839.0,,,87.0,35.0,0.0,0.0,1.0,2.0,729.0,624.0,10790517.0,1301552.0,59.0,88.0,84758.0,169917.0,7490.0,15282.0,2231.0,2762.0,,
32,Argentina,2002,112898.0,15903.0,3996.0,3877.0,0.0,0.0,,,25781.0,54183.0,547.0,328.0,153.0,108.0,11022645.97,6194.0,4227.0,0.0,0.0,0.0,0.0,163.0,1155.0,159039.0,345216.0,992.0,1058.0,27389.0,16800.0,72.0,86.0,36.0,35.0,0.0,0.0,1907.0,3861.0,8475.0,843.0,407.0,336.0,1578.0,427.0,17094.0,1600.0,10155.0,2446.0,3800.0,71.0,21387.0,30541.0,,,0.0,0.0,10.0,4.0,11.0,16.0,891.0,632.0,9051610.0,1097362.0,79.0,67.0,136306.0,194629.0,7757.0,14355.0,3366.0,3868.0,,
32,Argentina,2003,66150.0,9731.0,558.0,878.0,1420.0,751.0,,,23208.0,53589.0,0.0,1.0,25.0,31.0,13867212.31,8894.0,8548.0,33.0,28.0,0.0,0.0,146.0,107.0,177932.0,455467.0,5575.0,6077.0,40348.0,32403.0,297.0,413.0,0.0,0.0,0.0,0.0,4588.0,10543.0,65.0,15.0,346.0,305.0,2663.0,692.0,11855.0,829.0,1902.0,603.0,10698.0,199.0,13884.0,21125.0,,,0.0,0.0,450.0,54.0,48.0,61.0,798.0,580.0,6169213.0,940518.0,44.0,53.0,100403.0,180033.0,7984.0,17600.0,3969.0,4975.0,,
32,Argentina,2004,196665.0,31781.0,3900.0,7287.0,1429.0,558.0,,,34823.0,87383.0,0.0,0.0,78.0,98.0,15807156.4,8707.0,11838.0,140.0,188.0,0.0,0.0,849.0,563.0,317946.0,811298.0,9105.0,12339.0,64669.0,55642.0,364.0,455.0,24.0,41.0,0.0,0.0,6224.0,17797.0,135.0,34.0,458.0,402.0,5040.0,1367.0,20712.0,1924.0,7423.0,2522.0,35519.0,1399.0,17266.0,32927.0,,,72.0,26.0,186.0,24.0,0.0,0.0,1179.0,926.0,9976599.0,1365480.0,29.0,38.0,176981.0,362539.0,5824.0,14256.0,4809.0,7645.0,,
32,Argentina,2005,325359.0,40970.0,1675.0,3396.0,1037.0,1167.0,,,52081.0,143756.0,0.0,0.0,515.0,718.0,17952610.57,9644.0,14503.0,488.0,585.0,50.0,10.0,2917.0,2277.0,428307.0,1158375.0,9240.0,12531.0,111696.0,110209.0,324.0,438.0,34.0,65.0,0.0,0.0,8555.0,27155.0,2483.0,297.0,548.0,475.0,9191.0,2542.0,33207.0,2863.0,12735.0,4739.0,0.0,0.0,16016.0,33860.0,,,421.0,137.0,26.0,18.0,33.0,51.0,2118.0,1628.0,10431146.0,1280585.0,5.0,10.0,162745.0,372169.0,4598.0,13430.0,4107.0,7584.0,,
32,Argentina,2006,389707.0,55974.0,12367.0,21284.0,1903.0,2077.0,,,58197.0,162881.0,14.0,25.0,1362.0,1365.0,19581847.93,7182.0,14288.0,239.0,262.0,0.0,0.0,2542.0,2274.0,304898.0,1096573.0,10778.0,19245.0,117835.0,111750.0,274.0,396.0,0.0,0.0,0.0,0.0,7340.0,22906.0,1758.0,261.0,478.0,449.0,10029.0,3046.0,16330.0,1550.0,15017.0,5729.0,59.0,34.0,22686.0,48245.0,,,1394.0,432.0,101.0,69.0,102.0,140.0,2249.0,2100.0,9697359.0,1472023.0,0.0,0.0,212519.0,473191.0,4666.0,16014.0,3956.0,8224.0,,
32,Argentina,2007,523179.0,93490.0,12744.0,27987.0,1950.0,2046.0,,,45372.0,146700.0,150.0,378.0,798.0,1110.0,27142279.19,5565.0,29403.0,237.0,299.0,0.0,0.0,2141.0,2549.0,292739.0,1201542.0,4352.0,7790.0,151048.0,186061.0,233.0,333.0,40.0,60.0,0.0,0.0,5869.0,17386.0,1840.0,564.0,698.0,676.0,11274.0,4003.0,8285.0,1214.0,9212.0,5382.0,141.0,71.0,10597.0,32037.0,,,89.0,48.0,0.0,0.0,71.0,115.0,2016.0,1900.0,9645491.0,2015981.0,0.0,0.0,101524.0,313588.0,8033.0,27163.0,4408.0,9215.0,,
32,Argentina,2008,960090.0,262024.0,14557.0,49122.0,1573.0,2332.0,,,36213.0,171023.0,187.0,543.0,396.0,647.0,35556849.09,6094.0,38918.0,179.0,313.0,0.0,0.0,1417.0,1942.0,214260.0,1349317.0,7921.0,19495.0,193159.0,278779.0,172.0,279.0,347.0,283.0,478.0,987.0,5771.0,22141.0,1091.0,525.0,2500.0,2028.0,15883.0,6119.0,17094.0,2855.0,22343.0,15330.0,759.0,50.0,13935.0,50669.0,,,43.0,29.0,0.0,0.0,207.0,386.0,3311.0,3807.0,8772264.0,2547287.0,0.0,0.0,103419.0,394331.0,5495.0,17242.0,5131.0,11580.0,,
32,Argentina,2009,1011887.0,189317.0,14141.0,26184.0,2785.0,2985.0,,,48076.0,149050.0,223.0,679.0,528.0,576.0,26642988.58,4839.0,21070.0,173.0,214.0,0.0,0.0,1486.0,1756.0,372464.0,1513497.0,6826.0,16375.0,209271.0,259873.0,219.0,422.0,256.0,174.0,75.0,116.0,7158.0,26796.0,4786.0,1637.0,4280.0,1573.0,20904.0,7508.0,20220.0,3685.0,21543.0,10898.0,16.0,8.0,12530.0,27991.0,,,33.0,20.0,91.0,116.0,101.0,224.0,2492.0,2870.0,5118007.0,1001972.0,0.0,0.0,146824.0,347805.0,2500.0,7649.0,3420.0,7703.0,,
